request_id,created_at,resolved_at,channel,requester_role,requester_alias,department,product_area,environment,priority,request_type,business_impact,description,steps_taken,resolution_notes,resolution_time_hours,escalated,csat_score,tags,kb_article_helpful,predicted_category,predicted_urgency,recommended_team,suggested_action
REQ-TUW9OHTU,2025-10-01 08:36,2025-10-03 00:42,Teams,Manager,UserD,IT,Core Platform,Sandbox,Medium,Data Issue,Moderate,Feature is grayed out but contract includes it; entitlement mismatch. Customer is escalating due to audit deadline. Only affects a subset of users. Please verify data integrity and mappings.,Verified seat count; Reviewed contract SKU list,Root cause: Invoice mismatch. Corrected SKU assignment and refreshed entitlements.,40.11,0,4.0,reporting;training,1,Data Integrity,Critical,Engineering - Data,Review KB articles and escalate if needed.
REQ-KZIXZARE,2025-10-01 14:12,2025-10-01 23:30,Slack,Analyst,UserC,Training,Talent Acquisition,Production,High,Access Request,Severe,New hires are not being provisioned automatically; access denied. Only affects a subset of users. Observed in Production.,Checked IdP metadata; Reset MFA for affected user,Root cause: User not provisioned. Fixed role mapping and re-provisioned affected users. Performed post-incident review and added monitoring alert.,9.3,0,,audit;release,1,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-IKPQAHCU,2025-10-01 14:41,2025-10-03 05:46,Form,Admin,UserC,Recruiting,Core Platform,Production,High,Integration Issue,Severe,Integration mapping changed; 'locationCode' is now null. Department: Recruiting. Customer is escalating due to audit deadline. Please verify data integrity and mappings.,Checked rate limit headers; Rotated API token,Root cause: IP allowlist blocking. Increased retry backoff and corrected field mapping.,39.09,0,4.0,audit;ui,0,Data Integrity,Critical,Engineering - Data,Review KB articles and escalate if needed.
REQ-CAUTJX6E,2025-10-02 09:40,2025-10-07 05:28,Teams,Admin,UserE,IT,Core Platform,Sandbox,Low,How-to,Moderate,Filter 'Department' returns blanks for several records. Department: IT. Repro steps available on request. User needs guidance on correct workflow.,Checked user permissions; Reproduced report with same filters,Root cause: Metric definition confusion. Granted missing permissions and refreshed cached aggregates.,115.8,0,,data-quality;reporting,0,How-to/Guidance,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-XLM5Q201,2025-10-02 11:59,2025-10-04 16:24,Jira,Coordinator,UserG,Recruiting,Reporting,Production,Medium,Integration Issue,Moderate,IP allowlist update needed; requests blocked from new vendor range. Only affects a subset of users. Repro steps available on request. Please verify data integrity and mappings.,Reviewed webhook logs; Validated IP allowlist,Root cause: Webhook retries failing. Added new IP range to allowlist and verified connectivity.,52.43,0,5.0,security;training,1,Data Integrity,Medium,Engineering - Data,Review KB articles and escalate if needed.
REQ-E4EX6U86,2025-10-02 14:06,2025-10-03 17:17,Email,Analyst,UserE,IT,Core Platform,Production,High,Feature Request,Moderate,Would like an approval step before publishing postings. Observed in Production. Only affects a subset of users. Stakeholder requests roadmap visibility.,Documented user story; Logged request in backlog,"Root cause: New dashboard widget. Documented request, proposed interim workaround, and scheduled discovery session.",27.2,0,4.0,payroll;urgent,0,Feature Request,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-QY3ODSX4,2025-10-02 15:58,2025-10-05 08:21,Form,Admin,UserG,Finance,Time & Attendance,Production,Low,How-to,Minor,Monthly headcount report doesn't match payroll numbers. Only affects a subset of users. Observed in Production. User needs guidance on correct workflow.,Checked user permissions; Validated ETL job completion,Root cause: Stale data cache. Granted missing permissions and refreshed cached aggregates.,64.39,0,5.0,data-quality;integration,1,How-to/Guidance,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-48N7ODKE,2025-10-03 16:30,2025-10-05 22:48,Slack,Manager,UserE,Operations,Onboarding,Production,Medium,Data Issue,Severe,Nightly sync created duplicates; IDs appear to be re-used. Only affects a subset of users. Observed in Production. Please verify data integrity and mappings.,Tried UTF-8 re-export; Re-ran import with dry-run,Root cause: CSV schema mismatch. Normalized date formats and re-imported using updated template.,54.3,0,5.0,payroll;release,0,Data Integrity,Medium,Engineering - Data,Review KB articles and escalate if needed.
REQ-CF72GNNV,2025-10-03 18:08,2025-10-04 06:01,Jira,Manager,UserE,Finance,Onboarding,Production,Critical,How-to,Minor,Exported report is missing columns and the totals look off. Observed in Production. Department: Finance. User needs guidance on correct workflow.,Compared metric definitions; Validated ETL job completion,Root cause: Stale data cache. Re-ran ETL and confirmed dashboard values are current.,11.89,0,,reporting;security,0,How-to/Guidance,Medium,Customer Success,Review KB articles and escalate if needed.
REQ-RDMLY4LY,2025-10-04 09:14,2025-10-06 13:18,Jira,Admin,UserC,Recruiting,Onboarding,Sandbox,Medium,Bug,Major,Submit button is disabled even after all required fields are filled. Customer is escalating due to audit deadline. Observed in Sandbox. Reproducible with standard test account.,Tested in Chrome/Edge; Verified feature flags,Root cause: Misaligned modal. Fixed regression and added test coverage for the workflow.,52.08,0,,release;security,0,Software/Bug,Critical,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-UDQFJ6IJ,2025-10-05 12:38,2025-10-12 07:29,Teams,Coordinator,UserE,IT,Talent Acquisition,Production,Low,Integration Issue,Minor,Integration mapping changed; 'locationCode' is now null. Happening since last release. Observed in Production. Please verify data integrity and mappings.,Reviewed webhook logs; Rotated API token,Root cause: Version mismatch. Rotated token and updated webhook signing secret.,162.86,0,3.0,reporting;ui,1,Data Integrity,Medium,Engineering - Data,Review KB articles and escalate if needed.
REQ-EZRDYXYU,2025-10-05 14:56,2025-10-06 22:05,Form,Director,UserF,IT,Core Platform,Production,Medium,Bug,Minor,Validation error message is hidden behind the sidebar. Department: IT. Customer is escalating due to audit deadline. Reproducible with standard test account.,Verified feature flags; Tested in Chrome/Edge,Root cause: Browser-specific rendering. Patched front-end validation logic and deployed hotfix.,31.16,0,,release;training,1,Software/Bug,Critical,Engineering - Core Platform,Check logs for stack traces and known regressions.
REQ-WJTIQWNR,2025-10-05 16:22,2025-10-05 20:24,Teams,Manager,UserD,HR,Core Platform,Sandbox,Critical,Bug,Minor,System intermittently times out when loading candidate profiles. Customer is escalating due to audit deadline. Repro steps available on request. Reproducible with standard test account.,Correlated with deployment window; Checked DB slow queries,Root cause: Database contention. Optimized query plan and increased cache TTL for hot paths. Performed post-incident review and added monitoring alert.,4.04,0,4.0,payroll;reporting,1,Software/Bug,Critical,Engineering - Core Platform,Check logs for stack traces and known regressions.
