article_id,title,product_area,last_updated,tags,body
KB-001,SSO Troubleshooting,Talent Acquisition,2025-12-14,how-to;policy,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Firefox scenario."
KB-002,SSO Troubleshooting,Reporting,2025-10-26,faq;troubleshooting,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Chrome scenario."
KB-003,SSO Troubleshooting,Reporting,2025-11-09,faq;policy,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Edge scenario."
KB-004,SSO Troubleshooting,Reporting,2025-11-17,best-practice;release-note,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Firefox scenario."
KB-005,SSO Troubleshooting,Reporting,2025-10-11,best-practice;faq,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Chrome scenario."
KB-006,SSO Troubleshooting,Time & Attendance,2025-10-30,how-to;release-note,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Firefox scenario."
KB-007,SSO Troubleshooting,Core Platform,2025-12-19,best-practice;faq,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Edge scenario."
KB-008,SSO Troubleshooting,Talent Acquisition,2025-11-25,best-practice;faq,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Edge scenario."
KB-009,Report Data Freshness,Time & Attendance,2025-11-04,faq;how-to,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Edge scenario."
KB-010,Report Data Freshness,Talent Acquisition,2025-10-30,best-practice;how-to,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Chrome scenario."
